"objectId","createdAt","updatedAt","userId","activityType","coinChangeAmt","rewardId","pointRewardId","rewardDescription","rewardLongDescription","rewardTotalCountAfterAction","vendorId"
"l8gYtRPDyf","03/11/2013 19:28:24","03/11/2013 19:28:24","pKBaZhesBd","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","1","KePt2apWWd"
"KMwHuUGVsa","03/11/2013 19:28:47","03/11/2013 19:28:47","ND5GhAW911","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","2","KePt2apWWd"
"nzSq3e8jb1","03/11/2013 21:59:19","03/11/2013 21:59:19","nPKSpj7gjs","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","8","KePt2apWWd"
"hxUO28mZj2","03/11/2013 22:15:35","03/11/2013 22:15:35","sJG2F5n6nZ","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","7","KePt2apWWd"
"C7ZlJttHde","03/11/2013 22:15:38","03/11/2013 22:15:38","sJG2F5n6nZ","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","9","KePt2apWWd"
"jdtepfUxW9","03/11/2013 23:14:53","03/11/2013 23:14:53","9xkaw852yX","Scanned Reward","1","lQXrP2wTCx","","Free donut","Receive a free donut after any 5 purchases","4","geeQIPYSZh"
"MVDP1yMckb","03/12/2013 02:13:33","03/12/2013 02:13:33","3vCoxybQka","Scanned Reward","1","K5xIl5jFAr","","Free buffet","Receive a free buffet pass after dining here 10 times","4","KePt2apWWd"
"QdM8z0MpKZ","03/12/2013 02:13:33","03/12/2013 02:13:33","3vCoxybQka","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"HoC7JgsECP","03/12/2013 02:13:38","03/12/2013 02:13:38","3vCoxybQka","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","4","KePt2apWWd"
"8tq8v2CiPa","03/12/2013 03:03:29","03/12/2013 03:03:29","gDfwKhYSMs","Scanned Reward","1","Ifj8RdRVu9","","Free drink","Receive a free drink after paying with cash 3 times","3","KePt2apWWd"
